,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,flag_imaging,IFU,perturber_flag,flag_sigma,theta_E,theta_E_error,gamma,gamma_error,z_lens,z_source,sigma_v,sigma_v_error,q,comment_sigma,r_eff,r_eff_error,comment_imaging,n_bin,r_max,psf_ifu,fiber_scale,flag_ifu,ifu_file_name,comment_ifu,ra,dec,q_l,q_l_hi,q_l_lo,phi_l,phi_l_hi,phi_l_lo,gamma_hi,gamma_lo,theta_E_hi,theta_E_lo,phi_m,phi_m_hi,phi_m_lo,del_phi,del_phi_hi,del_phi_lo,q_m,q_m_hi,q_m_lo,gamma_ext,gamma_ext_hi,gamma_ext_lo,psi_ext,psi_ext_hi,psi_ext_lo,delta_dec,delta_dec_hi,delta_dec_lo,delta_ra,delta_ra_hi,delta_ra_lo,gamma_pct,gamma_pct_hi,gamma_pct_lo,theta_E_pct,theta_E_pct_hi,theta_E_pct_lo,RA,DEC
16,16,24,24,SDSSJ0903+4116,1,0,0,0,1.27394471842891,0.0281001150730528,2.07548616028803,0.0577928556902698,0.43,1.065,223.0,27.0,-1.0,,1.78,0.0623,,,,,,,,,135.81329170000000,41.269194400000000,0.8549580043681,0.00613237273928247,0.00782979197008416,-86.7817242927471,13.5173453122908,1.18280148339717,0.0588938446360965,0.0729478572535722,0.014227320638847,0.006596246824398080,65.0836020298717,3.16342662299508,117.38066735657400,151.95465269953700,3.17220452507857,142.755948633429,0.717992695771024,0.12378219327978,0.0246450555611654,0.0894241417095936,0.0086413528516526,0.0882419390845649,50.084155077232300,3.1159843231931,50.7072112529321,0.0555659196572915,0.00983081902293147,0.0450506681331104,-0.0174029921245892,0.0137619360519826,0.00883333285637551,2.08010771035562,0.0588938446360965,0.0729478572535722,1.27121174893415,0.014227320638847,0.006596246824398080,135.8132917,41.2691944
23,22,9,9,SDSSJ0912+0029,0,1,1,1,1.627,0.02,,,0.164,0.324,326.0,12.0,-1.0,,4.01,0.14035,,3.0,3,0.8,0.67,1.0,J0912_kinmap.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.022125,0.4836667
31,30,25,25,SDSSJ0935-0003,0,1,0,1,0.8672,0.02,,,0.347,0.467,396.0,35.0,-1.0,,2.15,0.07525,,3.0,3.0,0.8,0.67,1.0,J0935_kinmap.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.9330417,-0.0596667
32,31,26,26,SDSSJ0936+0913,0,0,0,1,1.0887,0.02,,,0.19,0.588,243.0,11.0,-1.0,,2.11,0.07385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0032083,9.2266111
8,8,8,8,SDSSJ0959+0410,1,1,1,1,0.968905467478956,0.03838261270393130,1.97090206054692,0.0326215247074913,0.126,0.535,197.0,13.0,-1.0,,1.29,0.04515,,3.0,3.0,0.8,0.67,-1.0,J0959_kinmap.fits,rotation,149.933625,4.171388900000000,0.66832773106329,0.0327443120792847,0.0423186591412543,31.2612166307057,4.47569238221015,4.213803779870340,0.0264797983255101,0.0477528260632834,0.0420666130926342,0.0171671317331037,12.7985255182663,26.0599135940346,2.1132479643428500,-18.6203504764932,24.6646696988936,2.14827192548274,0.71257275752345,0.0903429803523472,0.0162809604513398,0.0580789453465914,0.00964037259859302,0.0574317059983231,-10.502840540047200,11.149160663094200,2.77398782185569,-0.041147888645187,0.0590924357703435,0.0055309208875284800,0.0307369328032603,0.0111131076634511,0.0583686431746793,1.97991558041768,0.0264797983255101,0.0477528260632834,0.962199496103445,0.0420666130926342,0.0171671317331037,149.933625,4.1713889
33,32,27,27,SDSSJ0959+4416,0,0,1,1,0.9606,0.02,,,0.237,0.531,244.0,19.0,-1.0,,1.98,0.0693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.754,44.2776111
34,33,28,28,SDSSJ1016+3859,0,0,1,1,1.0904,0.02,,,0.168,0.439,247.0,13.0,-1.0,,1.46,0.0511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.09525,38.98425
35,34,29,29,SDSSJ1020+1122,0,0,1,1,1.2003,0.02,,,0.282,0.553,282.0,18.0,-1.0,,1.59,0.05565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.1105833,11.3780833
46,46,46,46,SDSSJ1023+4230,0,0,1,1,1.4142,0.02,,,0.191,0.696,242.0,15.0,-1.0,,1.77,0.06195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.8844167,42.5005
36,35,30,30,SDSSJ1100+5329,0,0,1,0,1.5176,0.02,,,0.317,0.858,187.0,23.0,-1.0,,2.2,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.101625,53.4871944
17,17,31,31,SDSSJ1112+0826,1,0,1,1,1.42239286894044,0.0154781125158136,2.21065907586486,0.06058992651536900,0.273,0.629,320.0,20.0,-1.0,,1.32,0.0462,,,,,,,,,168.21083330000000,8.4362222,0.746013804763748,0.00138667627404232,0.0014401917922291,-46.5491252836913,0.15737593793579,0.168248919263945,0.0609870009780589,0.0530894775591762,0.0165822435392369,0.0116757119332869,-56.965173907091500,1.63294684865297,1.35396474531118,-10.4224299859076,1.64694637090806,1.38598606219393,0.558480428419429,0.0553296906799898,0.032464413093017,0.0657353202079306,0.0172444094453755,0.036938206657427,-63.356571211072000,173.41333866443,7.27970079003191,-0.0227736575130571,0.016732838603754,0.0149954222814002,0.0368601190079791,0.0204505708055436,0.0199495558825441,2.20816637184177,0.0609870009780589,0.05308947755917610,1.42086275802444,0.0165822435392369,0.0116757119332869,168.2108333,8.4362222
37,36,32,32,SDSSJ1134+6027,0,0,1,1,1.1024,0.02,,,0.153,0.474,239.0,11.0,-1.0,,2.02,0.0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.5245417,60.45375
38,37,33,33,SDSSJ1142+1001,0,0,1,1,0.9841,0.02,,,0.222,0.504,221.0,22.0,-1.0,,1.24,0.0434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.7389583,10.0199444
