#name,ra,dec,Nmed,dN,NoverRmed,dNoverR,ID,zd,sigma,dsigma,sSIE,S10,dS10,S10t,dS10t,D1,dD1,aD1,daD1,D1t,dD1t,oS10,oD1,,Clu1,zcl,cldist,,,,,,,,,,,,,,
#Median N is 63.000000 and Median N is 1.028768 (for 100,000 random LoS),,,,,,,,km/s,km/s,km/s,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,,,,,,arcmin,,,,,,,,,,,,,,
SDSSJ1250+0523,192.61775,5.396972,83,2.181278,1.612109,0.078175,J1250+0523,0.232,272,15,244,3.1,1.0,7.0,0.6,2.8,0.7,2.8,0.1,3.9,0.2,1.10714285714286,1,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1306+0600,196.556875,6.006139,78,2.046888,1.841175,0.070323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1313+4615,198.262208,46.253778,149,3.282584,2.563101,0.059504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1319+1504,199.885417,15.073889,92,2.095686,1.598485,0.057922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1402+6321,210.617542,63.359306,115,2.508558,1.782352,0.054702,J1402+6321,0.205,283,18,294,1.8,0.6,9.8,1.1,1.7,0.5,2.7,0.2,4.3,0.3,0.666666666666667,0.62962962962963,0,NSCSJ140131+632201,0.350,6.40,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1403+0006,210.872875,0.1115,103,1.481285,1.558491,0.039385,J1403+0006,0.189,232,18,225,31.1,9.8,8.6,1.0,10.6,1.3,4.6,0.2,4.6,0.3,6.76086956521739,2.30434782608696,1,SDSSCEJ210.802505+00.093432,0.183,4.40,MaxBCGJ210.85765+00.13363,0.167,1.60,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1432+6317,218.055583,63.284389,120,2.356268,1.823966,0.044424,J1432+6317,0.123,205,10,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1531-0105,232.958625,-1.096028,63,2.006764,1.402321,0.055136,J1531-0105,0.160,297,15,281,4.8,1.5,8.9,0.8,4.4,0.8,3.4,0.2,4.5,0.2,1.41176470588235,1.29411764705882,0,SDSSCEJ232.866760-01.117970,0.129,5.70,SDSSCEJ233.054077-01.151869,0.424,6.60,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1538+5817,234.553833,58.286056,100,2.359704,2.0881,0.07456,J1538+5817,0.143,205,13,222,7.9,2.5,8.9,1.1,2.8,0.7,4.8,0.2,4.8,0.3,1.64583333333333,0.583333333333333,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1614+4522,243.65725,45.381472,63,2.36862,0.974032,0.030537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1621+3931,245.387458,39.529056,61,1.80651,0.996516,0.027091,J1621+3931,0.245,253,21,285,2.3,0.7,7.8,0.9,2.3,0.6,2.6,0.1,4.1,0.2,0.884615384615385,0.884615384615385,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1627-0053,246.943542,-0.899333,81,1.605675,1.509795,0.064186,J1627-0053,0.208,312,16,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1630+4520,247.617333,45.343417,75,2.347922,1.329919,0.086561,J1630+4520,0.248,297,17,311,2.0,0.6,9.8,1.1,1.7,0.5,2.8,0.1,4.2,0.2,0.714285714285714,0.607142857142857,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
