J1432+6317,0.123,205,10,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1436-0000,0.285,240,18,256,5.6,1.8,6.3,0.6,4.4,0.8,2.9,0.1,3.4,0.2,1,SDSSCEJ219.075027+00.094154,0.288,6.60,SDSSCEJ218.997833-00.116972,0.139,9.60,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1443+0304,0.134,231,12,207,4.9,1.5,6.7,0.7,4.8,0.9,5.9,0.3,4.4,0.3,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1451-0239,0.125,238,15,222,3.8,1.2,7.8,0.8,3.9,0.8,3.6,0.2,4.4,0.3,0,ZwCl1449.1-0227,-,3.40,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1525+3327,0.358,279,28,318,1.2,0.4,8.3,1.0,1.1,0.4,1.9,0.1,4.3,0.2,0,NSCJ152503+332621,0.219,1.60,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1531-0105,0.160,297,15,281,4.8,1.5,8.9,0.8,4.4,0.8,3.4,0.2,4.5,0.2,0,SDSSCEJ232.866760-01.117970,0.129,5.70,SDSSCEJ233.054077-01.151869,0.424,6.60,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1538+5817,0.143,205,13,222,7.9,2.5,8.9,1.1,2.8,0.7,4.8,0.2,4.8,0.3,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1618+4353,0.199,0,0,0,6.0,1.9,10.3,1.3,3.7,0.8,4.1,0.2,4.1,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1621+3931,0.245,253,21,285,2.3,0.7,7.8,0.9,2.3,0.6,2.6,0.1,4.1,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1627-0053,0.208,312,16,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
